#{"t_start": 1668908959.1176991, "env_id": null}
r,l,t
1.8,8,0.723623
2.05,8,1.297206
1.8,8,1.86286
2.3,8,2.43561
1.455639,8,3.002795
2.3,8,3.570491
1.8,8,4.150047
1.8,8,4.723902
1.8,8,5.298022
2.05,8,5.889647
1.8,8,6.445904
2.05,8,7.025691
1.455639,8,7.574634
1.505639,10,8.220598
1.4,12,8.929889
1.8,8,9.512411
1.8,8,10.095446
1.205639,8,10.672272
2.2,9,11.301233
1.8,8,11.935509
1.8,8,12.510643
1.85,10,13.175795
1.8,8,13.746815
2.2,9,14.368602
2.3,8,14.968827
2.05,8,15.547323
2.3,8,16.102652
2.3,8,16.686729
2.05,8,17.27287
1.455639,8,17.867174
1.8,8,18.434117
2.05,8,19.030077
1.05,8,19.60411
2.3,8,20.179191
2.05,8,20.762246
2.3,8,21.345924
2.05,8,21.904001
2.3,8,22.504761
2.05,8,23.095953
2.05,8,23.696401
2.05,8,24.297758
2.05,8,24.883407
2.3,8,25.466503
1.05,13,26.262765
2.05,8,26.87884
1.6,10,27.538686
1.455639,8,28.120739
1.8,8,28.714329
1.005639,15,29.563522
2.3,8,30.130202
2.05,8,30.708751
2.3,8,31.299147
1.355639,9,31.916867
1.75,11,32.62898
2.3,8,33.222355
2.05,8,33.803398
2.05,8,34.380145
1.8,8,34.963383
2.05,8,35.545201
2.0,11,36.265882
2.05,8,36.842779
1.8,8,37.409854
1.8,8,37.988628
2.05,8,38.562257
1.8,8,39.134229
2.05,8,39.712266
2.05,8,40.285335
2.3,8,40.879357
2.05,8,41.446306
2.05,8,42.078794
2.05,8,42.646995
2.3,8,43.254072
1.7,9,43.878955
2.05,8,44.442359
1.8,8,45.011587
2.3,8,45.588346
2.3,8,46.148212
2.05,8,46.729283
2.3,8,47.308712
2.05,8,47.895624
2.05,8,48.463831
2.3,8,49.044934
2.05,8,49.649461
1.8,8,50.211863
1.8,8,50.794282
1.8,8,51.386932
2.05,8,51.963296
2.3,8,52.536103
2.05,8,53.107857
2.3,8,53.685961
2.3,8,54.27896
2.3,8,54.848858
2.3,8,55.431985
2.05,8,56.006045
2.05,8,56.62974
2.05,8,57.211764
1.8,8,57.78156
2.05,8,58.366952
1.7,9,58.972729
1.705639,8,59.570339
2.05,8,60.160806
2.05,8,60.710387
2.3,8,61.28319
1.605639,9,61.897018
1.7,9,62.49662
2.3,8,63.070698
1.8,8,63.66138
2.05,8,64.214631
1.8,8,64.779662
2.05,8,65.362431
2.05,8,65.940651
2.05,8,66.52958
1.8,8,67.119302
2.05,8,67.702905
2.05,8,68.267552
1.8,8,68.84384
1.8,8,69.403921
1.455639,8,69.951211
2.05,8,70.520367
1.8,13,71.361741
1.705639,8,71.931947
2.05,8,72.506536
2.05,8,73.058671
2.05,8,73.654819
1.3,8,74.244652
2.05,8,74.828487
2.3,8,75.417767
2.05,8,75.996493
2.05,8,76.594726
1.0,16,77.478879
1.9,12,78.210799
2.2,9,78.835535
1.455639,8,79.412626
1.55,8,79.974899
1.705639,8,80.55259
2.05,8,81.114681
1.705639,8,81.691238
1.3,13,82.483592
2.3,8,83.068367
2.3,8,83.660071
2.05,8,84.234596
2.3,8,84.83262
2.3,8,85.415242
1.705639,8,86.009424
2.05,8,86.661524
2.05,8,87.238736
2.05,8,87.805403
2.05,8,88.382152
1.455639,8,88.967634
2.05,8,89.561694
2.05,8,90.158979
1.205639,8,90.729333
1.8,8,91.309205
1.455639,8,91.888677
1.8,8,92.462081
1.455639,8,93.044629
1.8,8,93.632536
2.05,8,94.201384
1.8,8,94.762677
1.3,8,95.336313
2.05,8,95.918055
2.3,8,96.494918
1.8,8,97.071974
2.05,8,97.651645
1.8,8,98.227807
1.3,13,98.97433
1.8,8,99.56392
1.8,8,100.127501
2.05,8,100.699522
2.3,8,101.317395
2.3,8,101.878299
2.05,8,102.450568
1.8,8,103.043757
2.3,8,103.627943
2.05,8,104.218665
1.8,8,104.797361
2.05,8,105.381079
2.2,9,105.99261
2.3,8,106.560772
2.3,8,107.145183
2.05,8,107.723472
1.455639,8,108.307075
1.8,8,108.900318
1.705639,8,109.478091
2.3,8,110.060995
1.8,8,110.637511
1.8,8,111.203549
1.705639,8,111.775675
1.8,8,112.360971
2.05,8,112.944947
1.705639,8,113.52029
2.3,8,114.123687
1.8,8,114.679625
2.05,8,115.277009
1.705639,8,115.917268
2.05,8,116.494518
2.05,8,117.08183
2.05,8,117.662747
1.705639,8,118.247261
1.55,8,118.844062
1.705639,8,119.422541
1.75,11,120.133502
1.705639,8,120.703525
1.05,8,121.28364
2.3,8,121.877531
2.3,8,122.460962
1.8,8,123.052026
2.05,8,123.622852
1.95,9,124.260431
1.8,8,124.824454
1.85,10,125.485877
2.05,8,126.061347
1.95,9,126.671229
2.05,8,127.260183
1.8,8,127.813433
2.3,8,128.383393
1.8,8,128.977998
2.05,8,129.577945
1.8,8,130.166997
2.05,8,130.793213
1.205639,13,131.56286
2.3,8,132.124874
1.8,8,132.707757
2.3,8,133.279655
2.3,8,133.854048
1.705639,8,134.433694
2.3,8,135.002861
1.8,8,135.57848
2.05,8,136.163214
1.8,8,136.743797
1.8,8,137.317949
2.05,8,137.884086
2.05,8,138.450961
1.8,8,139.028141
1.705639,8,139.611792
2.3,8,140.194476
2.2,9,140.812235
1.8,8,141.383676
2.3,8,141.97037
2.05,8,142.563265
1.7,9,143.179066
1.3,8,143.760421
2.05,8,144.319715
1.75,11,145.01025
2.05,8,145.630975
2.3,8,146.206774
2.05,8,146.784009
2.05,8,147.350028
1.455639,8,147.936934
2.05,8,148.510207
1.455639,8,149.080972
1.8,8,149.633569
2.05,8,150.210407
1.7,9,150.826958
2.05,8,151.410844
2.05,8,151.982934
2.05,8,152.566451
1.8,8,153.146005
1.705639,8,153.722414
1.8,8,154.319592
2.05,8,154.882962
1.8,8,155.486624
1.455639,8,156.078293
1.6,10,156.735327
2.3,8,157.327631
1.8,8,157.893548
1.705639,8,158.465786
2.05,8,159.043206
2.3,8,159.620592
2.05,8,160.227521
1.8,8,160.820456
1.3,13,161.586202
1.95,9,162.201812
1.8,8,162.79741
1.8,8,163.367001
1.7,9,163.966703
1.8,8,164.537765
2.05,8,165.109868
1.8,8,165.68273
2.2,9,166.310993
2.3,8,166.863375
1.8,8,167.438798
2.05,8,168.016781
2.05,8,168.598473
2.05,8,169.18016
2.3,8,169.760195
1.8,8,170.328989
2.05,8,170.910042
2.05,8,171.502114
2.3,8,172.083023
1.8,8,172.666899
2.3,8,173.260401
2.05,8,173.829016
2.05,8,174.41332
2.05,8,175.043627
2.3,8,175.626603
1.7,9,176.214522
1.8,8,176.789778
1.705639,8,177.358059
1.8,13,178.130814
2.05,8,178.72151
2.3,8,179.293328
2.05,8,179.86902
1.8,8,180.434915
2.3,8,181.003367
2.2,9,181.618729
2.05,8,182.196224
2.05,8,182.768862
2.3,8,183.360874
1.9,12,184.115216
1.455639,8,184.701222
2.05,8,185.27465
2.05,8,185.861582
2.3,8,186.456363
2.05,8,187.043522
1.8,8,187.589765
2.05,8,188.179162
2.05,8,188.75156
2.3,8,189.343054
2.05,8,189.966891
2.3,8,190.548704
2.3,8,191.092799
2.3,8,191.663727
1.705639,8,192.2493
2.3,8,192.833779
1.4,12,193.578695
2.05,8,194.140818
1.705639,8,194.707566
1.8,8,195.264223
1.8,8,195.843121
2.05,8,196.404326
2.05,8,196.986308
1.8,8,197.560213
2.05,8,198.138267
2.05,8,198.720614
1.8,8,199.292207
1.7,9,199.922343
1.3,13,200.732788
2.05,8,201.296851
2.05,8,201.868292
2.05,8,202.445744
1.05,8,203.035463
1.8,8,203.62655
2.05,8,204.208323
2.05,8,204.832399
1.705639,8,205.406415
2.3,8,205.991134
1.8,8,206.568817
1.8,8,207.147552
2.05,8,207.700419
2.05,8,208.286274
2.05,8,208.864441
2.3,8,209.414103
2.3,8,210.001362
2.05,8,210.567712
1.205639,8,211.159554
1.8,8,211.729856
2.05,8,212.309082
2.3,8,212.860763
2.05,8,213.43705
2.3,8,214.019826
2.05,8,214.595696
1.55,13,215.386598
2.05,8,215.992901
1.95,9,216.602072
1.8,8,217.176157
1.455639,8,217.781478
1.55,8,218.374292
1.005639,15,219.239714
1.95,9,219.89918
1.4,12,220.660186
2.05,8,221.239278
2.05,8,221.813276
2.05,8,222.396962
2.05,8,222.956607
2.3,8,223.528014
2.05,8,224.113281
2.05,8,224.687
2.05,8,225.278013
2.3,8,225.85935
1.2,19,226.862278
1.8,8,227.453926
1.8,8,228.042899
2.3,8,228.628346
2.05,8,229.218951
2.05,8,229.800545
1.95,9,230.396344
1.8,8,230.975054
1.8,8,231.528899
2.3,8,232.099509
2.05,8,232.668002
1.455639,8,233.256259
2.05,8,233.849891
2.05,8,234.432009
1.8,8,235.032902
0.805639,17,235.962156
1.55,8,236.538977
1.8,8,237.108995
1.705639,8,237.680511
2.05,8,238.246551
1.65,12,238.997975
0.85,20,240.035275
2.05,8,240.609119
2.05,8,241.179904
2.05,8,241.747074
2.3,8,242.323581
1.4,12,243.063743
2.05,8,243.628832
2.05,8,244.199971
2.05,8,244.771356
2.05,8,245.3322
1.455639,8,245.908668
2.3,8,246.493035
1.8,8,247.094776
1.8,8,247.681082
1.8,8,248.256615
2.05,8,248.837463
2.05,8,249.424524
2.05,8,249.99788
1.705639,8,250.613113
2.05,8,251.182837
1.8,8,251.763706
1.8,8,252.349373
1.8,8,252.930691
2.3,8,253.510298
2.05,8,254.092262
2.05,8,254.650253
2.05,8,255.21202
2.05,8,255.796179
1.55,8,256.375191
1.455639,8,256.943204
2.05,8,257.511416
2.05,8,258.09453
2.05,8,258.679057
2.3,8,259.258814
2.3,8,259.832685
2.3,8,260.411956
2.05,8,261.003539
1.8,8,261.575637
1.8,8,262.155895
2.3,8,262.69474
2.05,8,263.278875
1.705639,8,263.859574
2.05,8,264.431763
2.05,8,265.051954
1.55,8,265.633707
1.6,10,266.29289
2.05,8,266.877575
1.705639,8,267.458158
1.405639,11,268.141092
2.05,8,268.698723
1.455639,8,269.276009
1.8,8,269.847956
2.05,8,270.414271
1.8,8,270.999456
1.55,8,271.596549
2.05,8,272.175712
2.05,8,272.730328
2.05,8,273.316898
1.455639,8,273.893709
1.455639,8,274.466654
2.3,8,275.041219
2.05,8,275.616932
2.05,8,276.165273
1.705639,8,276.734338
1.205639,8,277.308698
2.05,8,277.880857
2.3,8,278.448968
1.8,8,279.033689
2.05,8,279.6593
2.05,8,280.230443
2.05,8,280.84175
2.05,8,281.408853
2.05,8,281.991477
2.05,8,282.576975
1.55,8,283.15804
2.05,8,283.729738
1.8,8,284.304236
2.05,8,284.878335
1.8,8,285.458662
1.8,8,286.050124
1.55,8,286.634462
1.455639,8,287.211776
1.8,8,287.760223
2.05,8,288.34448
1.95,9,288.959732
2.05,8,289.55845
1.455639,8,290.14228
2.05,8,290.733995
0.755639,15,291.608826
1.55,8,292.182505
2.05,8,292.762989
2.3,8,293.374881
1.3,8,293.944566
2.05,8,294.560407
1.455639,8,295.108898
2.3,8,295.705737
1.455639,8,296.280916
2.05,8,296.848214
2.3,8,297.447123
2.3,8,298.017527
1.8,8,298.582561
2.05,8,299.16574
1.95,9,299.784239
1.0,16,300.701396
1.8,8,301.283619
1.8,8,301.8799
2.1,10,302.528689
2.3,8,303.112326
2.05,8,303.677031
2.05,8,304.250998
1.95,9,304.87709
1.8,8,305.458809
1.55,8,306.040739
2.05,8,306.628425
1.75,11,307.338284
1.8,8,307.911293
2.05,8,308.454296
2.05,8,309.026418
2.3,8,309.674311
1.15,17,310.600749
2.05,8,311.175925
2.05,8,311.741165
2.05,8,312.31701
2.3,8,312.88123
2.05,8,313.461222
2.05,8,314.039104
2.1,10,314.703538
2.3,8,315.275564
2.05,8,315.861386
2.05,8,316.428879
2.05,8,316.999904
1.705639,8,317.596874
2.3,8,318.175329
2.05,8,318.756279
1.35,15,319.634108
1.8,8,320.224444
2.05,8,320.79177
2.05,8,321.374576
2.3,8,321.94692
2.05,8,322.529274
2.05,8,323.122545
1.7,9,323.727056
2.05,8,324.307724
2.3,8,324.943094
1.8,8,325.507828
2.3,8,326.0798
1.8,8,326.658016
2.05,8,327.228019
2.05,8,327.792185
1.3,8,328.346904
1.705639,8,328.923853
2.2,9,329.532585
2.05,8,330.123242
2.05,8,330.707775
2.05,8,331.279132
2.05,8,331.846687
2.3,8,332.423512
2.05,8,333.009619
1.8,8,333.588017
2.3,8,334.17697
2.3,8,334.72783
1.8,8,335.290229
1.8,8,335.847881
1.8,8,336.4179
2.05,8,336.999714
2.05,8,337.585188
1.75,11,338.268698
0.405639,16,339.194187
2.05,8,339.793628
2.3,8,340.376612
1.8,8,340.957337
1.5,11,341.674411
1.8,8,342.275799
2.3,8,342.829269
2.05,8,343.412476
1.8,8,343.9692
2.05,8,344.563713
2.05,8,345.129016
1.455639,8,345.717832
2.05,8,346.290621
2.05,8,346.873804
1.8,8,347.445164
1.55,13,348.232567
2.1,10,348.90201
2.05,8,349.494813
1.8,8,350.073374
2.3,8,350.647487
2.3,8,351.234516
2.3,8,351.794841
2.05,8,352.359548
2.3,8,352.929234
1.205639,8,353.512707
2.3,8,354.100262
1.55,13,354.90355
2.3,8,355.479304
2.05,8,356.033398
2.3,8,356.584243
2.3,8,357.149092
2.05,8,357.746889
1.605639,9,358.358108
2.05,8,358.926444
1.85,10,359.577441
2.05,8,360.137993
1.5,11,360.83822
1.455639,8,361.436297
1.55,8,361.993314
2.3,8,362.573678
1.455639,8,363.144741
2.05,8,363.717547
1.8,8,364.288532
1.8,8,364.860656
1.8,8,365.430657
1.8,8,366.01115
1.8,8,366.598449
1.8,8,367.175605
2.05,8,367.727291
1.455639,8,368.301342
2.05,8,368.86191
2.05,8,369.490518
2.3,8,370.051557
2.05,8,370.638681
2.05,8,371.238266
2.3,8,371.812799
2.3,8,372.377567
1.8,8,372.935061
2.05,8,373.527361
2.05,8,374.107189
2.05,8,374.679028
2.05,8,375.244597
2.05,8,375.824181
1.455639,8,376.397768
1.455639,8,376.974899
2.3,8,377.550044
1.95,9,378.168396
1.25,11,378.892504
1.8,8,379.467412
2.05,8,380.043721
2.05,8,380.63877
2.05,8,381.211783
1.85,10,381.860958
2.05,8,382.417585
2.05,8,382.996095
2.05,8,383.57237
2.3,8,384.200689
2.05,8,384.790368
1.8,8,385.374078
2.05,8,385.946559
1.7,9,386.557775
1.8,8,387.145672
2.05,8,387.725668
2.05,8,388.295018
1.705639,8,388.886873
2.05,8,389.458753
2.05,8,390.022059
2.05,8,390.576804
2.05,8,391.132252
2.3,8,391.698405
2.3,8,392.261966
1.705639,8,392.810338
1.8,8,393.392453
2.3,8,393.960887
2.3,8,394.53818
2.05,8,395.098247
2.3,8,395.674143
1.55,8,396.25671
2.05,8,396.836836
2.05,8,397.418656
1.455639,8,397.989311
2.05,8,398.609596
2.3,8,399.191022
2.05,8,399.760579
1.8,8,400.342379
2.05,8,400.907134
1.55,8,401.479548
1.3,8,402.060623
2.05,8,402.63828
2.3,8,403.203995
2.3,8,403.782659
2.05,8,404.361302
2.05,8,404.938565
2.3,8,405.507288
1.8,8,406.099846
2.05,8,406.677585
2.3,8,407.245712
2.3,8,407.821858
2.05,8,408.390266
1.8,8,408.975102
1.455639,8,409.542421
2.05,8,410.103301
2.05,8,410.676044
2.05,8,411.246464
2.05,8,411.811866
1.95,9,412.44766
1.8,8,413.065714
2.05,8,413.630202
2.05,8,414.217103
2.05,8,414.785775
2.05,8,415.358385
0.805639,12,416.084505
1.65,12,416.808597
1.355639,9,417.44227
2.3,8,418.017999
2.3,8,418.591333
0.255639,20,419.657363
1.8,8,420.251526
2.05,8,420.856313
2.3,8,421.444537
1.8,8,422.004069
2.05,8,422.592192
0.9,12,423.341847
1.85,10,423.990832
1.705639,8,424.566131
2.3,8,425.136986
2.05,8,425.692647
2.3,8,426.280051
1.35,10,426.932553
2.05,8,427.486052
2.05,8,428.061784
2.05,8,428.67336
1.95,9,429.29019
1.55,8,429.863297
2.05,8,430.437145
2.3,8,431.046846
2.05,8,431.623312
1.75,11,432.293387
2.05,8,432.878591
2.05,8,433.460459
2.05,8,434.039828
1.65,12,434.782492
1.705639,8,435.343555
2.3,8,435.917772
2.05,8,436.508174
2.05,8,437.060173
2.05,8,437.625076
1.8,8,438.195975
2.3,8,438.780342
1.45,14,439.56695
2.05,8,440.126364
2.05,8,440.698697
2.05,8,441.260161
2.3,8,441.838954
1.8,8,442.413584
2.3,8,442.982176
2.3,8,443.589972
1.8,8,444.167517
1.55,8,444.739384
1.7,9,445.370207
2.3,8,445.933131
2.05,8,446.478087
1.8,8,447.073996
2.3,8,447.646321
2.05,8,448.208632
1.55,8,448.792562
1.8,8,449.376684
1.8,8,449.957233
1.455639,8,450.555423
1.8,8,451.143749
2.05,8,451.706291
1.8,8,452.271426
1.705639,8,452.845124
2.05,8,453.411443
1.95,9,454.013402
2.05,8,454.607654
1.705639,8,455.189154
1.8,8,455.772527
1.455639,8,456.356175
2.3,8,456.925768
2.05,8,457.497248
2.05,8,458.114876
1.8,8,458.697596
1.8,8,459.262677
2.3,8,459.819509
1.455639,8,460.390805
1.455639,8,460.973218
2.05,8,461.559247
1.8,8,462.157222
1.8,8,462.74034
2.3,8,463.302428
2.05,8,463.890606
2.3,8,464.455334
2.05,8,465.02388
2.3,8,465.623072
2.05,8,466.185323
1.55,8,466.762993
1.705639,8,467.328797
2.3,8,467.896615
1.705639,8,468.4764
1.85,10,469.123543
1.705639,8,469.669719
2.3,8,470.261446
1.8,8,470.857339
1.505639,10,471.507387
1.705639,8,472.078857
2.05,8,472.68945
2.3,8,473.259801
1.8,8,473.827013
1.8,8,474.396217
1.8,8,474.963397
1.705639,8,475.526253
2.05,8,476.105381
2.05,8,476.697221
2.05,8,477.2811
2.3,8,477.850549
1.8,8,478.422704
1.8,8,478.986733
1.8,8,479.569649
2.05,8,480.132067
1.705639,8,480.705211
2.05,8,481.27532
2.3,8,481.85501
2.05,8,482.439724
2.05,8,483.014048
1.505639,10,483.644845
2.05,8,484.214687
2.05,8,484.79108
1.455639,8,485.371888
1.8,8,485.939977
2.05,8,486.505857
2.3,8,487.14344
2.05,8,487.720623
1.355639,9,488.343367
2.05,8,488.91551
1.6,10,489.572009
1.455639,8,490.13619
2.05,8,490.720977
1.8,8,491.313774
2.2,9,491.922991
1.8,8,492.498285
2.05,8,493.082055
1.8,8,493.65519
1.705639,8,494.223227
2.3,8,494.805326
2.05,8,495.397668
2.05,8,495.975181
2.05,8,496.54756
2.05,8,497.104395
2.05,8,497.676592
1.7,9,498.299226
2.3,8,498.876124
2.3,8,499.455201
2.05,8,500.038897
1.8,8,500.611978
1.705639,8,501.195209
2.05,8,501.83896
2.05,8,502.394192
1.8,8,502.98856
1.8,8,503.560645
1.8,8,504.143433
2.05,8,504.732434
1.6,10,505.388654
1.705639,8,505.95563
2.05,8,506.518755
2.3,8,507.078179
2.05,8,507.648792
2.05,8,508.222319
1.55,8,508.782425
2.05,8,509.348037
2.05,8,509.912705
2.3,8,510.505266
1.705639,8,511.075791
1.705639,8,511.672913
1.8,8,512.235182
1.85,10,512.882937
2.3,8,513.470545
1.055639,12,514.231102
1.8,8,514.792109
1.8,8,515.364985
1.705639,8,515.943634
2.3,8,516.559815
1.8,8,517.137965
2.3,8,517.723774
2.3,8,518.304323
2.3,8,518.875806
2.3,8,519.455947
2.3,8,520.038862
2.05,8,520.611952
2.3,8,521.179969
2.05,8,521.755203
2.05,8,522.314997
2.05,8,522.875363
2.3,8,523.441441
1.705639,8,524.01321
1.455639,8,524.579197
2.05,8,525.156379
2.3,8,525.755589
1.55,8,526.337972
1.705639,8,526.908454
2.3,8,527.505502
2.3,8,528.07198
2.05,8,528.637939
2.05,8,529.203077
2.05,8,529.779666
2.3,8,530.356566
1.705639,8,530.977781
2.2,9,531.605879
1.2,14,532.427159
1.705639,8,532.991233
1.8,8,533.562303
2.05,8,534.146246
2.05,8,534.729531
2.05,8,535.305128
1.8,8,535.872804
1.255639,10,536.520689
1.705639,8,537.127846
1.8,8,537.705198
1.8,8,538.304506
2.05,8,538.881005
2.05,8,539.445875
1.8,8,540.01051
2.05,8,540.573272
1.8,8,541.129537
0.85,20,542.191925
2.3,8,542.759698
2.05,8,543.329321
2.05,8,543.921457
1.8,8,544.504181
1.8,8,545.088345
1.55,13,545.858133
2.05,8,546.494674
2.3,8,547.05411
1.455639,8,547.638054
1.8,8,548.189374
1.8,8,548.73883
2.05,8,549.313585
1.8,8,549.876973
2.3,8,550.44264
2.05,8,551.024376
2.05,8,551.563448
2.3,8,552.128658
2.2,9,552.723504
2.05,8,553.274368
2.05,8,553.843118
2.05,8,554.446927
1.705639,8,555.044228
1.05,8,555.62261
1.8,8,556.202123
1.3,8,556.754601
1.8,8,557.311443
1.705639,8,557.886585
2.05,8,558.459888
1.8,8,559.018748
1.455639,8,559.579753
1.8,8,560.149913
1.705639,8,560.788113
1.8,8,561.358379
1.8,8,561.923153
1.705639,8,562.486209
1.8,8,563.058176
2.3,8,563.633162
1.705639,8,564.221128
2.05,8,564.773852
2.3,8,565.337495
2.05,8,565.898417
2.05,8,566.476333
2.05,8,567.047144
1.455639,8,567.621357
1.7,9,568.204052
1.55,8,568.787554
1.8,8,569.37878
1.355639,9,569.981319
2.05,8,570.551934
2.05,8,571.139761
1.8,8,571.706264
1.355639,9,572.337476
2.05,8,572.925361
2.05,8,573.485382
2.3,8,574.06304
1.8,8,574.63569
1.705639,8,575.25244
2.05,8,575.828635
1.8,8,576.392758
2.05,8,576.974247
1.8,8,577.554958
1.8,8,578.137726
2.3,8,578.721308
1.95,9,579.329676
2.05,8,579.895794
1.8,8,580.464292
2.05,8,581.034456
1.8,8,581.618088
1.455639,8,582.191175
2.05,8,582.774127
2.05,8,583.34305
1.8,8,583.920984
2.3,8,584.486957
1.455639,8,585.061687
2.05,8,585.647146
2.3,8,586.227963
2.05,8,586.787838
1.705639,8,587.357595
2.3,8,587.91758
2.3,8,588.490056
1.8,8,589.058552
2.3,8,589.717699
1.05,13,590.46837
2.05,8,591.01681
2.05,8,591.606889
1.3,13,592.370493
1.8,8,592.954257
